,title,title_abs,publish_year,keyword,emb1,emb2,year_cat,year_enc,color_code
14,Forecasting with a Panel Tobit Model,"Forecasting with a Panel Tobit Model  We use a dynamic panel Tobit model with heteroskedasticity to generate forecasts for a large cross-section of short time series of censored observations. Our fully Bayesian approach allows us to flexibly estimate the cross-sectional distribution of heterogeneous coefficients and then implicitly use this distribution as prior to construct Bayes forecasts for the individual time series. In addition to density forecasts, we construct set forecasts that explicitly target the average coverage probability for the cross-section. We present a novel application in which we forecast bank-level loan charge-off rates for small banks. ",2021,forecasting,4.1229157,6.2391777,2020-,6,#5E0897
15,Improving forecasting by subsampling seasonal time series,"Improving forecasting by subsampling seasonal time series  Time series forecasting plays an increasingly important role in modern business decisions. In today's data-rich environment, people often aim to choose the optimal forecasting model for their data. However, identifying the optimal model requires professional knowledge and experience, making accurate forecasting a challenging task. To mitigate the importance of model selection, we propose a simple and reliable algorithm to improve the forecasting performance. Specifically, we construct multiple time series with different sub-seasons from the original time series. These derived series highlight different sub-seasonal patterns of the original series, making it possible for the forecasting methods to capture diverse patterns and components of the data. Subsequently, we produce forecasts for these multiple series separately with classical statistical models (ETS or ARIMA). Finally, the forecasts are combined. We evaluate our approach on widely-used forecasting competition data sets (M1, M3, and M4) in terms of both point forecasts and prediction intervals. We observe performance improvements compared with the benchmarks. Our approach is particularly suitable and robust for the data with higher frequency. To demonstrate the practical value of our proposition, we showcase the performance improvements from our approach on hourly load data that exhibit multiple seasonal patterns. ",2021,forecasting,3.5719602,6.7192984,2020-,6,#5E0897
16,Hurricane Forecasting: A Novel Multimodal Machine Learning Framework,"Hurricane Forecasting: A Novel Multimodal Machine Learning Framework  This paper describes a novel machine learning (ML) framework for tropical cyclone intensity and track forecasting, combining multiple ML techniques and utilizing diverse data sources. Our multimodal framework, called Hurricast, efficiently combines spatial-temporal data with statistical data by extracting features with deep-learning encoder-decoder architectures and predicting with gradient-boosted trees. We evaluate our models in the North Atlantic and Eastern Pacific basins on 2016-2019 for 24-hour lead time track and intensity forecasts and show they achieve comparable mean absolute error and skill to current operational forecast models while computing in seconds. Furthermore, the inclusion of Hurricast into an operational forecast consensus model could improve over the National Hurricane Center's official forecast, thus highlighting the complementary properties with existing approaches. In summary, our work demonstrates that utilizing machine learning techniques to combine different data sources can lead to new opportunities in tropical cyclone forecasting. ",2020,forecasting,3.7960331,6.7082553,2020-,6,#5E0897
17,Visual Time Series Forecasting: An Image-driven Approach,"Visual Time Series Forecasting: An Image-driven Approach  In this work, we address time-series forecasting as a computer vision task. We capture input data as an image and train a model to produce the subsequent image. This approach results in predicting distributions as opposed to pointwise values. To assess the robustness and quality of our approach, we examine various datasets and multiple evaluation metrics. Our experiments show that our forecasting tool is effective for cyclic data but somewhat less for irregular data such as stock prices. Importantly, when using image-based evaluation metrics, we find our method to outperform various baselines, including ARIMA, and a numerical variation of our deep learning approach. ",2021,forecasting,3.696875,6.7006764,2020-,6,#5E0897
18,"Interval Elicitation of Forecasts in a Prediction Market Reveals Lack of  Anchoring ""Bias""","Interval Elicitation of Forecasts in a Prediction Market Reveals Lack of   Anchoring ""Bias""  In an online prediction market, forecasters who could not see the current state of the market until they made their own separate estimates moved their estimates closer to the market forecast when the current state of the market became known. Their first edits to the market forecast were very similar to the first edits of forecasters who could always see the current state of the market, and forecasters in both conditions had similar accuracy. These results suggest that our more elaborate forecast elicitation method might not improve forecasts and that any anchoring on the state of the market does not constitute an error in judgment. ",2014,forecasting,3.9902723,6.421084,2011-2015,4,#9100CF
19,Large Scale Automated Forecasting for Monitoring Network Safety and  Security,"Large Scale Automated Forecasting for Monitoring Network Safety and   Security  Real time large scale streaming data pose major challenges to forecasting, in particular defying the presence of human experts to perform the corresponding analysis. We present here a class of models and methods used to develop an automated, scalable and versatile system for large scale forecasting oriented towards safety and security monitoring. Our system provides short and long term forecasts and uses them to detect safety and security issues in relation with multiple internet connected devices well in advance they might take place. ",2018,forecasting,3.720016,6.9323564,2016-2020,5,#7402B1
20,Volcano transition in populations of phase oscillators with random  nonreciprocal interactions,"Volcano transition in populations of phase oscillators with random   nonreciprocal interactions  Populations of heterogeneous phase oscillators with frustrated random interactions exhibit a quasi-glassy state in which the distribution of local fields is volcano-shaped. In a recent work [Phys. Rev. Lett. 120, 264102 (2018)] the volcano transition was replicated in a solvable model using a low-rank, random coupling matrix $\mathbf M$. We extend here that model including tunable nonreciprocal interactions, i.e. ${\mathbf M}^T\ne \mathbf M$. More specifically, we formulate two different solvable models. In both of them the volcano transition persists if matrix elements $M_{jk}$ and $M_{kj}$ are enough correlated. Our numerical simulations fully confirm the analytical results. To put our work in a wider context, we also investigate numerically the volcano transition in the analogous model with a full-rank random coupling matrix. ",2023,volcano,6.2246995,5.050803,2020-,6,#5E0897
21,"A Simple Volcano Potential with an Analytic, Zero-Energy, Ground State","A Simple Volcano Potential with an Analytic, Zero-Energy, Ground State  We describe a simple volcano potential, which is supersymmetric and has an analytic, zero-energy, ground state. (The KK modes are also analytic.) It is an interior harmonic oscillator potential properly matched to an exterior angular momentum-like tail. Special cases are given to elucidate the physics, which may be intuitively useful in studies of higher-dimensional gravity. ",2000,volcano,7.454048,2.6597364,1996-2000,1,#B2AB10
22,Predictability of Volcano Eruption: lessons from a basaltic effusive  volcano,"Predictability of Volcano Eruption: lessons from a basaltic effusive   volcano  Volcano eruption forecast remains a challenging and controversial problem despite the fact that data from volcano monitoring significantly increased in quantity and quality during the last decades.This study uses pattern recognition techniques to quantify the predictability of the 15 Piton de la Fournaise (PdlF) eruptions in the 1988-2001 period using increase of the daily seismicity rate as a precursor. Lead time of this prediction is a few days to weeks. Using the daily seismicity rate, we formulate a simple prediction rule, use it for retrospective prediction of the 15 eruptions,and test the prediction quality with error diagrams. The best prediction performance corresponds to averaging the daily seismicity rate over 5 days and issuing a prediction alarm for 5 days. 65% of the eruptions are predicted for an alarm duration less than 20% of the time considered. Even though this result is concomitant of a large number of false alarms, it is obtained with a crude counting of daily events that are available from most volcano observatories ",2003,volcano,4.8440638,6.661766,2001-2005,2,#FFE135
23,Classification of volcanic ash particles using a convolutional neural  network and probability,"Classification of volcanic ash particles using a convolutional neural   network and probability  Analyses of volcanic ash are typically performed either by qualitatively classifying ash particles by eye or by quantitatively parameterizing its shape and texture. While complex shapes can be classified through qualitative analyses, the results are subjective due to the difficulty of categorizing complex shapes into a single class. Although quantitative analyses are objective, selection of shape parameters is required. Here, we applied a convolutional neural network (CNN) for the classification of volcanic ash. First, we defined four basal particle shapes (blocky, vesicular, elongated, rounded) generated by different eruption mechanisms (e.g., brittle fragmentation), and then trained the CNN using particles composed of only one basal shape. The CNN could recognize the basal shapes with over 90% accuracy. Using the trained network, we classified ash particles composed of multiple basal shapes based on the output of the network, which can be interpreted as a mixing ratio of the four basal shapes. Clustering of samples by the averaged probabilities and the intensity is consistent with the eruption type. The mixing ratio output by the CNN can be used to quantitatively classify complex shapes in nature without categorizing forcibly and without the need for shape parameters, which may lead to a new taxonomy. ",2018,volcano,4.0856524,8.25117,2016-2020,5,#7402B1
24,About the Mechanism of Volcanic Eruptions,"About the Mechanism of Volcanic Eruptions  A new approach to the volcanic eruption theory is proposed. It is based on a simple physical mechanism of the imbalance in the system ""magma-crust-fluid"". This mechanism helps to explain from unified positions the different types of volcanic eruptions. A criterion of imbalance and magma eruption is derived. Stratovolcano and caldera formation is analyzed. High explosive eruptions of the silicic magma is discussed ",2012,volcano,5.614642,5.311607,2011-2015,4,#9100CF
25,"Methods for analyzing surface texture effects of volcanoes with Plinian  and subplinian eruptions types: Cases of study Lascar (23 S) and Chaiten (42  S), Chile","Methods for analyzing surface texture effects of volcanoes with Plinian   and subplinian eruptions types: Cases of study Lascar (23 S) and Chaiten (42   S), Chile  This paper presents a new methodology that provides the analysis of surface texture changes in areas adjacent to the volcano and its impact product of volcanic activity. To do this, algorithms from digital image processing such as the co-occurrence matrix and the wavelet transform are used. These methods are working on images taken by the Landsat satellite platform sensor 5 TM and Landsat 7 ETM + sensor, and implemented with the purpose of evaluating superficial changes that can warn of surface movements of the volcano. The results were evaluated by similarity metrics for grayscale images, and validated in two different scenarios that have the same type of eruption, but differ, essentially, in climate and vegetation. Finally, the proposed algorithm is presented, setting the parameters and constraints for implementation and use. ",2016,volcano,4.693839,7.5651984,2016-2020,5,#7402B1
26,Detecting Volcano Deformation in InSAR using Deep learning,"Detecting Volcano Deformation in InSAR using Deep learning  Globally 800 million people live within 100 km of a volcano and currently 1500 volcanoes are considered active, but half of these have no ground-based monitoring. Alternatively, satellite radar (InSAR) can be employed to observe volcanic ground deformation, which has shown a significant statistical link to eruptions. Modern satellites provide large coverage with high resolution signals, leading to huge amounts of data. The explosion in data has brought major challenges associated with timely dissemination of information and distinguishing volcano deformation patterns from noise, which currently relies on manual inspection. Moreover, volcano observatories still lack expertise to exploit satellite datasets, particularly in developing countries. This paper presents a novel approach to detect volcanic ground deformation automatically from wrapped-phase InSAR images. Convolutional neural networks (CNN) are employed to detect unusual patterns within the radar data. ",2018,volcano,3.68431,8.030829,2016-2020,5,#7402B1
27,Toward Forecasting Volcanic Eruptions using Seismic Noise,"Toward Forecasting Volcanic Eruptions using Seismic Noise  During inter-eruption periods, magma pressurization yields subtle changes of the elastic properties of volcanic edifices. We use the reproducibility properties of the ambient seismic noise recorded on the Piton de la Fournaise volcano to measure relative seismic velocity variations of less than 0.1 % with a temporal resolution of one day. Our results show that five studied volcanic eruptions were preceded by clearly detectable seismic velocity decreases within the zone of magma injection. These precursors reflect the edifice dilatation induced by magma pressurization and can be useful indicators to improve the forecasting of volcanic eruptions. ",2007,volcano,5.334355,6.573278,2006-2010,3,#FEF65C
28,Volcano transition in a solvable model of oscillator glass,"Volcano transition in a solvable model of oscillator glass  In 1992 a puzzling transition was discovered in simulations of randomly coupled limit-cycle oscillators. This so-called volcano transition has resisted analysis ever since. It was originally conjectured to mark the emergence of an oscillator glass, but here we show it need not. We introduce and solve a simpler model with a qualitatively identical volcano transition and find, unexpectedly, that its supercritical state is not glassy. We discuss the implications for the original model and suggest experimental systems in which a volcano transition and oscillator glass may appear. ",2017,volcano,6.8827047,5.0139313,2016-2020,5,#7402B1
29,From periodically driven double wells to volcano potentials: Quantum  dynamics,"From periodically driven double wells to volcano potentials: Quantum   dynamics  We consider the dynamics of a particle confined in a double well potential which is subjected to a periodic drive. In the case of deep and well separated wells, we find that by adjusting the parameters of the drive we can generate, to a very good approximation, a volcano potential. The quantum dynamics in this volcano potential is studied by a variation of what can be called a generalized Ehrenfest's theorem. We find that the coupling of the mean position and the width of the wave packet in this dynamics causes the particle to escape from the central well in accordance with the fact that the volcano potential only supports resonance states. ",2018,volcano,7.047133,4.4308605,2016-2020,5,#7402B1
30,Peranso - Light Curve and Period Analysis Software,"Peranso - Light Curve and Period Analysis Software  A time series is a sample of observations of well-defined data points obtained through repeated measurements over a certain time range. The analysis of such data samples has become increasingly important not only in natural science but also in many other fields of research. Peranso offers a complete set of powerful light curve and period analysis functions to work with large, astronomical data sets. Substantial attention has been given to ease-of-use and data accuracy, making it one of the most productive time series analysis software available. In this paper, we give an introduction to Peranso and its functionality. ",2016,time series,3.681695,6.906394,2016-2020,5,#7402B1
31,Early Classification of Time Series is Meaningful,"Early Classification of Time Series is Meaningful  Many approaches have been proposed for early classification of time series in light of its significance in a wide range of applications including healthcare, transportation and finance. However, recently a preprint saved on Arxiv claim that all research done for almost 20 years now on the Early Classification of Time Series is useless, or, at the very least, ill-oriented because severely lacking a strong ground. In this paper, we answer in detail the main issues and misunderstandings raised by the authors of the preprint, and propose directions to further expand the fields of application of early classification of time series. ",2021,time series,3.5879204,7.380817,2020-,6,#5E0897
32,Time series classification for varying length series,"Time series classification for varying length series  Research into time series classification has tended to focus on the case of series of uniform length. However, it is common for real-world time series data to have unequal lengths. Differing time series lengths may arise from a number of fundamentally different mechanisms. In this work, we identify and evaluate two classes of such mechanisms -- variations in sampling rate relative to the relevant signal and variations between the start and end points of one time series relative to one another. We investigate how time series generated by each of these classes of mechanism are best addressed for time series classification. We perform extensive experiments and provide practical recommendations on how variations in length should be handled in time series classification. ",2019,time series,3.560385,7.210984,2016-2020,5,#7402B1
33,Time-warping invariants of multidimensional time series,"Time-warping invariants of multidimensional time series  In data science, one is often confronted with a time series representing measurements of some quantity of interest. Usually, as a first step, features of the time series need to be extracted. These are numerical quantities that aim to succinctly describe the data and to dampen the influence of noise. In some applications, these features are also required to satisfy some invariance properties. In this paper, we concentrate on time-warping invariants. We show that these correspond to a certain family of iterated sums of the increments of the time series, known as quasisymmetric functions in the mathematics literature. We present these invariant features in an algebraic framework, and we develop some of their basic properties. ",2019,time series,4.9350815,4.694975,2016-2020,5,#7402B1
34,GluonTS: Probabilistic Time Series Models in Python,"GluonTS: Probabilistic Time Series Models in Python  We introduce Gluon Time Series (GluonTS, available at https://gluon-ts.mxnet.io), a library for deep-learning-based time series modeling. GluonTS simplifies the development of and experimentation with time series models for common tasks such as forecasting or anomaly detection. It provides all necessary components and tools that scientists need for quickly building new models, for efficiently running and analyzing experiments and for evaluating model accuracy. ",2019,time series,3.5441816,7.149748,2016-2020,5,#7402B1
35,Two-dimensional cellular automata and the analysis of correlated time  series,"Two-dimensional cellular automata and the analysis of correlated time   series  Correlated time series are time series that, by virtue of the underlying process to which they refer, are expected to influence each other strongly. We introduce a novel approach to handle such time series, one that models their interaction as a two-dimensional cellular automaton and therefore allows them to be treated as a single entity. We apply our approach to the problems of filling gaps and predicting values in rainfall time series. Computational results show that the new approach compares favorably to Kalman smoothing and filtering. ",2005,time series,2.822063,4.638055,2006-2010,3,#FEF65C
36,Chaotic time series in financial processes consisting of savings with  piecewise constant monthly contributions,Chaotic time series in financial processes consisting of savings with   piecewise constant monthly contributions  We investigate the time series generated by an elementary and deterministic financial process that consists in making monthly contributions to a savings account subjected to the devaluation by a monthly negative real interest rate. The monthly contribution is a piecewise constant function of the account balance. We show that a dichotomy holds for such a financial time series: either the financial time series are asymptotic to finitely many periodic sequences or the financial time series have an uncountable (Cantor) set of {\omega}-limit points. We also provide explicit parameters for which the financial process is chaotic in the sense that the financial time series have sensitive dependence on initial conditions at points of a Cantor attractor. ,2022,time series,5.720203,4.3277907,2020-,6,#5E0897
37,GRATIS: GeneRAting TIme Series with diverse and controllable  characteristics,"GRATIS: GeneRAting TIme Series with diverse and controllable   characteristics  The explosion of time series data in recent years has brought a flourish of new time series analysis methods, for forecasting, clustering, classification and other tasks. The evaluation of these new methods requires either collecting or simulating a diverse set of time series benchmarking data to enable reliable comparisons against alternative approaches. We propose GeneRAting TIme Series with diverse and controllable characteristics, named GRATIS, with the use of mixture autoregressive (MAR) models. We simulate sets of time series using MAR models and investigate the diversity and coverage of the generated time series in a time series feature space. By tuning the parameters of the MAR models, GRATIS is also able to efficiently generate new time series with controllable features. In general, as a costless surrogate to the traditional data collection approach, GRATIS can be used as an evaluation tool for tasks such as time series forecasting and classification. We illustrate the usefulness of our time series generation process through a time series forecasting application. ",2019,time series,3.7483523,6.6882596,2016-2020,5,#7402B1
38,Forecasting with Deep Learning,"Forecasting with Deep Learning  This paper presents a method for time series forecasting with deep learning and its assessment on two datasets. The method starts with data preparation, followed by model training and evaluation. The final step is a visual inspection. Experimental work demonstrates that a single time series can be used to train deep learning networks if time series in a dataset contain patterns that repeat even with a certain variation. However, for less structured time series such as stock market closing prices, the networks perform just like a baseline that repeats the last observed value. The implementation of the method as well as the experiments are open-source. ",2023,time series,3.5958073,6.939287,2020-,6,#5E0897
39,Feature-based time-series analysis,"Feature-based time-series analysis  This work presents an introduction to feature-based time-series analysis. The time series as a data type is first described, along with an overview of the interdisciplinary time-series analysis literature. I then summarize the range of feature-based representations for time series that have been developed to aid interpretable insights into time-series structure. Particular emphasis is given to emerging research that facilitates wide comparison of feature-based representations that allow us to understand the properties of a time-series dataset that make it suited to a particular feature-based representation or analysis algorithm. The future of time-series analysis is likely to embrace approaches that exploit machine learning methods to partially automate human learning to aid understanding of the complex dynamical patterns in the time series we measure from the world. ",2017,time series,3.6153743,7.1455564,2016-2020,5,#7402B1
40,Earthquakes in cities revisited,"Earthquakes in cities revisited  During the last twenty years, a number of publications of theoretical-numerical nature have appeared which come to the apparently-reassuring conclusion that seismic motion on the ground in cities is smaller than what this motion would be in the absence of the buildings (but for the same underground and seismic load). Other than the fact that this finding tells nothing about the motion within the buildings, it must be confronted with the overwhelming empirical evidence (e.g, earthquakes in Sendai (2011), Kathmandu (2015), Tainan City (2016), etc.) that shaking within buildings of a city is often large enough to damage or even destroy these structures. I show, on several examples, that theory can be reconciled with empirical evidence, and suggest that the crucial subject of seismic response in cities is in need of more thorough research. ",2016,earthquakes in remote places,5.279921,6.365577,2016-2020,5,#7402B1
41,Seismology with optical links: enabling a global network for submarine  earthquake monitoring,"Seismology with optical links: enabling a global network for submarine   earthquake monitoring  Earthquake monitoring across the globe is currently achieved with networks of seismic stations. The data from these networks have been instrumental in advancing our understanding of the Earth's interior structure and dynamic behaviour. However, almost all seismic stations are located on land and earthquakes of magnitude smaller than 4 at the bottom of the oceans remain largely undetected. Here we show that ordinary telecommunication optical fibre links can detect seismic events when combined with state-of-the-art frequency metrology techniques. We have detected earthquakes over terrestrial and submarine optical fibre links with length ranging from 75 to 535 km and a geographical distance from the earthquake's epicentre ranging from 25 to 18,500 km. In contrast to existing commercial reflectometry-based acoustic sensing methods used widely in the oil and gas industry, which are limited to only a few tens of kilometres, the technique presented here can be extended over thousands of kilometres, paving the way for detection of remote underwater earthquakes. By using the proposed technique on the existing extensive submarine optical fibre infrastructure, which already criss-crosses the seas and oceans, a global seismic network for real-time detection of underwater earthquakes could be implemented. The ability to detect off-shore earthquakes closer to the source could also enable a cost-effective solution for early detection of tsunamis. ",2017,earthquakes in remote places,5.358485,6.4701543,2016-2020,5,#7402B1
42,Global Earthquake Prediction Systems,"Global Earthquake Prediction Systems  Terra Seismic can predict most major earthquakes (M6.2 or greater) at least 2 - 5 months before they will strike. Global earthquake prediction is based on determinations of the stressed areas that will start to behave abnormally before major earthquakes. The size of the observed stressed areas roughly corresponds to estimates calculated from Dobrovolskys formula. To identify abnormalities and make predictions, Terra Seismic applies various methodologies, including satellite remote sensing methods and data from ground-based instruments. We currently process terabytes of information daily, and use more than 80 different multiparameter prediction systems. Alerts are issued if the abnormalities are confirmed by at least five different systems. We observed that geophysical patterns of earthquake development and stress accumulation are generally the same for all key seismic regions. Thus, the same earthquake prediction methodologies and systems can be applied successfully worldwide. Our technology has been used to retrospectively test data gathered since 1970 and it successfully detected about 90 percent of all significant quakes over the last 50 years. ",2020,earthquakes in remote places,5.3322253,6.468651,2020-,6,#5E0897
